"volgorde","exerciseId","oefening","categorie","opnamebatch","risico","doelduur_sec","props","scriptstatus","motionstatus","videostatus"
"192","fp_19e07e01294c64b5","Chest press (apparaat)","Apparaten","12-apparaten","standard","26","exact afgebeeld apparaat","draft","pending","pending"
"193","fp_382e423d4a8ed6d2","Chin-dip (apparaat)","Apparaten","12-apparaten","standard","26","exact afgebeeld apparaat","draft","pending","pending"
"194","fp_96f6c41e9dba6b01","Circle (apparaat)","Apparaten","12-apparaten","standard","26","exact afgebeeld apparaat","draft","pending","pending"
"195","fp_b9345bde5c635878","Crosstrainer (apparaat)","Apparaten","12-apparaten","standard","26","exact afgebeeld apparaat","draft","pending","pending"
"196","fp_ece0666d1342d4d2","Dorsi-pecto (apparaat)","Apparaten","12-apparaten","extra-review","32","exact afgebeeld apparaat","draft","pending","pending"
"197","fp_5993a1f1bdfba6c0","Endy Armstrekker","Apparaten","12-apparaten","standard","26","exact afgebeeld apparaat","draft","pending","pending"
"198","fp_85417b4c30175526","Endy Beenstrekker","Apparaten","12-apparaten","standard","26","exact afgebeeld apparaat","draft","pending","pending"
"199","fp_aaabb27f28a34f46","Endy Buikmachine","Apparaten","12-apparaten","standard","26","exact afgebeeld apparaat","draft","pending","pending"
"200","fp_30830a11e5af1242","Endy Fly","Apparaten","12-apparaten","standard","26","exact afgebeeld apparaat","draft","pending","pending"
"201","fp_3cb155e4c77ec502","Endy Heup abductie","Apparaten","12-apparaten","standard","26","exact afgebeeld apparaat","draft","pending","pending"
"202","fp_9c9150323706dcba","Endy Leg curl","Apparaten","12-apparaten","standard","26","exact afgebeeld apparaat","draft","pending","pending"
"203","fp_2f97b7fe3943057f","Endy Leg ext","Apparaten","12-apparaten","standard","26","exact afgebeeld apparaat","draft","pending","pending"
"204","fp_6ce6924b44bf9a90","Endy Pulldown","Apparaten","12-apparaten","standard","26","exact afgebeeld apparaat","draft","pending","pending"
"205","fp_04ace7e010dfef2e","Endy Rotator","Apparaten","12-apparaten","extra-review","32","exact afgebeeld apparaat","draft","pending","pending"
"206","fp_521e3cd46404d3ac","Endy Rugmachine","Apparaten","12-apparaten","standard","26","exact afgebeeld apparaat","draft","pending","pending"
"207","fp_ab63ca4dd9bb1d14","Endy Triceps dips","Apparaten","12-apparaten","standard","26","exact afgebeeld apparaat","draft","pending","pending"
"208","fp_762433eae97df9e5","Fiets (apparaat)","Apparaten","12-apparaten","standard","26","exact afgebeeld apparaat","draft","pending","pending"
"209","fp_3121ef64b91c35d3","Gluteus kick (apparaat)","Apparaten","12-apparaten","standard","26","exact afgebeeld apparaat","draft","pending","pending"
"210","fp_a283bcb81ae6eb31","Leg press (apparaat)","Apparaten","12-apparaten","standard","26","exact afgebeeld apparaat","draft","pending","pending"
"211","fp_f2e38bb5f7abf0b2","Loopband (apparaat)","Apparaten","12-apparaten","standard","26","exact afgebeeld apparaat","draft","pending","pending"
"212","fp_7137128c5f498677","Roeier (apparaat)","Apparaten","12-apparaten","standard","26","exact afgebeeld apparaat","draft","pending","pending"
"213","fp_8596981989aa3408","Rotator (apparaat)","Apparaten","12-apparaten","standard","26","exact afgebeeld apparaat","draft","pending","pending"
"214","fp_143594f21492f955","Stairs (apparaat)","Apparaten","12-apparaten","standard","26","exact afgebeeld apparaat","draft","pending","pending"
"215","fp_e082af3a36965a68","Vertical row (apparaat)","Apparaten","12-apparaten","standard","26","exact afgebeeld apparaat","draft","pending","pending"
